"duration";"protocol_type";"service";"flag";"src_bytes";"dst_bytes";"dos";"wrong_fragment";"urgent";"hot";"num_failed_logins";"logged_in";"num_compromised";"root_shell";"su_attempted";"num_root";"num_file_creations";"num_shells";"num_access_files";"num_outbound_cmds";"is_host_login";"is_guest_login";"count";"srv_count";"serror_rate";"srv_serror_rate";"rerror_rate";"srv_rerror_rate";"same_srv_rate";"diff_srv_rate";"srv_diff_host_rate";"dst_host_count";"dst_host_srv_count";"dst_host_same_srv_rate";"dst_host_diff_srv_rate";"dst_host_same_src_port_rate";"dst_host_srv_diff_host_rate";"dst_host_serror_rate";"dst_host_srv_serror_rate";"dst_host_rerror_rate";"dst_host_srv_rerror_rate";"label"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;509.0;509.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;509.0;509.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;510.0;510.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;509.0;509.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;510.0;510.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;510.0;510.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;510.0;510.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;508.0;508.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;508.0;508.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;509.0;509.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;510.0;510.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;510.0;510.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
0.0;"icmp";"ecr_i";"SF";1032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;511.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;255.0;255.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"dos"
